Frame, Frame Full, Scene, UI
235, 0.016514, 0.001508, 9.1e-05
236, 0.01671, 0.001545, 9.3e-05
237, 0.016554, 0.001502, 9e-05
238, 0.016725, 0.00151, 9.6e-05
239, 0.016404, 0.001502, 9.1e-05
240, 0.016609, 0.0015, 9.3e-05
241, 0.016785, 0.001502, 9e-05
242, 0.01664, 0.001583, 9.9e-05
243, 0.016453, 0.001503, 8.9e-05
244, 0.016961, 0.001506, 9.8e-05
245, 0.016504, 0.001517, 0.0001
246, 0.016546, 0.001505, 0.000117
247, 0.017062, 0.001514, 0.0001
248, 0.016443, 0.001769, 0.000103
249, 0.016569, 0.001497, 9e-05
250, 0.016415, 0.001509, 9.4e-05
251, 0.016961, 0.001601, 9.4e-05
252, 0.016447, 0.001503, 9.6e-05
253, 0.016528, 0.001501, 9e-05
254, 0.016636, 0.001504, 9.6e-05
255, 0.016628, 0.001503, 9.1e-05
256, 0.016634, 0.001505, 9.2e-05
257, 0.016964, 0.0015, 8.9e-05
258, 0.016581, 0.00167, 9.6e-05
259, 0.016414, 0.00151, 9.3e-05
260, 0.016696, 0.001517, 9.5e-05
261, 0.016614, 0.001501, 9.1e-05
262, 0.016447, 0.001509, 9.5e-05
263, 0.016643, 0.001501, 9e-05
264, 0.016999, 0.001503, 9.7e-05
265, 0.016496, 0.001503, 9.1e-05
266, 0.016654, 0.001502, 9.4e-05
267, 0.01642, 0.001503, 8.9e-05
268, 0.016805, 0.001512, 0.000103
269, 0.016543, 0.001611, 9e-05
270, 0.016901, 0.001512, 9.1e-05
271, 0.016727, 0.001502, 9e-05
272, 0.016531, 0.001499, 9.5e-05
273, 0.016536, 0.001507, 0.000103
274, 0.016721, 0.001505, 9.2e-05
275, 0.016453, 0.001508, 9.1e-05
276, 0.016708, 0.001512, 9.4e-05
277, 0.016586, 0.0015, 8.9e-05
278, 0.016481, 0.001508, 9.5e-05
279, 0.016762, 0.001502, 9e-05
280, 0.01654, 0.001504, 9.4e-05
281, 0.016726, 0.001506, 9.2e-05
282, 0.016714, 0.001704, 0.0001
283, 0.016491, 0.00156, 9.5e-05
284, 0.017094, 0.00168, 9.8e-05
285, 0.016515, 0.00151, 9.3e-05
286, 0.016557, 0.001499, 9.9e-05
287, 0.016768, 0.00168, 0.000103
288, 0.016291, 0.00166, 0.000102
289, 0.016596, 0.001676, 9.6e-05
290, 0.016748, 0.001721, 9.6e-05
291, 0.016569, 0.001529, 9.6e-05
292, 0.016585, 0.001505, 0.000102
293, 0.016608, 0.001507, 9.9e-05
294, 0.016691, 0.001509, 9.4e-05
295, 0.016569, 0.0015, 9e-05
296, 0.016787, 0.001568, 9.2e-05
297, 0.016704, 0.001503, 9.4e-05
298, 0.016416, 0.001505, 9.7e-05
299, 0.016732, 0.0015, 9.1e-05
